Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3824,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8925e+01,-0.00199999,0.00200001
-1.8917e+01,-0.00199999,-0.014
-1.8909e+01,-0.00599999,0.00200001
-1.8902e+01,-0.00199999,-0.014
-1.8894e+01,-0.00199999,0.00600001
-1.8886e+01,-0.00199999,-0.014
-1.8879e+01,-0.00199999,0.00600001
-1.8871e+01,-0.00199999,-0.00999999
-1.8863e+01,-0.00599999,0.00200001
-1.8856e+01,-0.00199999,-0.00999999
-1.8848e+01,-0.00599999,0.00200001
-1.8840e+01,-0.00199999,-0.014
-1.8833e+01,-0.00599999,0.00200001
-1.8825e+01,-0.00199999,-0.014
-1.8817e+01,-0.00199999,0.00200001
-1.8810e+01,-0.00199999,-0.00999999
-1.8802e+01,-0.00599999,0.00200001
-1.8794e+01,-0.00599999,-0.014
-1.8786e+01,-0.00599999,0.00600001
-1.8779e+01,-0.00199999,-0.014
-1.8771e+01,-0.00599999,0.00600001
-1.8763e+01,-0.00599999,-0.014
-1.8756e+01,-0.00199999,0.00600001
-1.8748e+01,-0.00599999,-0.014
-1.8740e+01,-0.00199999,0.00200001
-1.8733e+01,-0.00599999,-0.014
-1.8725e+01,-0.00599999,0.00600001
-1.8717e+01,-0.00599999,-0.014
-1.8710e+01,-0.00199999,0.00600001
-1.8702e+01,-0.00599999,-0.014
-1.8694e+01,-0.00599999,0.00600001
-1.8687e+01,-0.00199999,-0.014
-1.8679e+01,-0.00599999,0.00200001
-1.8671e+01,-0.00599999,-0.00999999
-1.8664e+01,-0.00199999,0.00200001
-1.8656e+01,-0.00199999,-0.014
-1.8648e+01,-0.00599999,0.00200001
-1.8641e+01,-0.00599999,-0.00999999
-1.8633e+01,-0.00199999,0.00200001
-1.8625e+01,-0.00199999,-0.014
-1.8618e+01,-0.00199999,0.00200001
-1.8610e+01,-0.00199999,-0.014
-1.8602e+01,-0.00199999,0.00200001
-1.8594e+01,-0.00199999,-0.014
-1.8587e+01,-0.00199999,0.00200001
-1.8579e+01,-0.00599999,-0.014
-1.8571e+01,-0.00599999,0.00600001
-1.8564e+01,-0.00599999,-0.00999999
-1.8556e+01,-0.00199999,0.00200001
-1.8548e+01,-0.00199999,-0.014
-1.8541e+01,-0.00199999,0.00600001
-1.8533e+01,-0.00599999,-0.014
-1.8525e+01,-0.00199999,0.00600001
-1.8518e+01,-0.00199999,-0.00999999
-1.8510e+01,-0.00599999,0.00200001
-1.8502e+01,-0.00199999,-0.014
-1.8495e+01,-0.00199999,0.00200001
-1.8487e+01,-0.00199999,-0.014
-1.8479e+01,-0.00599999,0.00200001
-1.8472e+01,-0.00199999,-0.014
-1.8464e+01,-0.00199999,0.00600001
-1.8456e+01,-0.00599999,-0.00999999
-1.8449e+01,-0.00199999,0.00600001
-1.8441e+01,-0.00599999,-0.014
-1.8433e+01,-0.00199999,0.00200001
-1.8425e+01,-0.00599999,-0.00999999
-1.8418e+01,-0.00199999,0.00200001
-1.8410e+01,-0.00599999,-0.014
-1.8402e+01,-0.00599999,0.00200001
-1.8395e+01,-0.00599999,-0.014
-1.8387e+01,-0.00199999,0.00200001
-1.8379e+01,-0.00199999,-0.014
-1.8372e+01,-0.00199999,0.00200001
-1.8364e+01,-0.00599999,-0.00999999
-1.8356e+01,-0.00199999,0.00600001
-1.8349e+01,-0.00199999,-0.00999999
-1.8341e+01,-0.00599999,0.00600001
-1.8333e+01,-0.00599999,-0.00999999
-1.8326e+01,-0.00199999,0.00600001
-1.8318e+01,-0.00599999,-0.00999999
-1.8310e+01,-0.00199999,0.00600001
-1.8303e+01,-0.00199999,-0.014
-1.8295e+01,-0.00599999,0.00200001
-1.8287e+01,-0.00599999,-0.014
-1.8280e+01,-0.00199999,0.00600001
-1.8272e+01,-0.00199999,-0.00999999
-1.8264e+01,-0.00199999,0.00600001
-1.8257e+01,-0.00199999,-0.014
-1.8249e+01,-0.00599999,0.00200001
-1.8241e+01,-0.00199999,-0.00999999
-1.8233e+01,-0.00199999,0.00200001
-1.8226e+01,-0.00599999,-0.00999999
-1.8218e+01,-0.00599999,0.00600001
-1.8210e+01,-0.00199999,-0.014
-1.8203e+01,-0.00199999,0.00200001
-1.8195e+01,-0.00599999,-0.00999999
-1.8187e+01,-0.00199999,0.00600001
-1.8180e+01,-0.00599999,-0.014
-1.8172e+01,-0.00599999,0.00600001
-1.8164e+01,-0.00599999,-0.014
-1.8157e+01,-0.00199999,0.00200001
-1.8149e+01,-0.00199999,-0.014
-1.8141e+01,-0.00599999,0.00600001
-1.8134e+01,-0.00199999,-0.014
-1.8126e+01,-0.00599999,0.00200001
-1.8118e+01,-0.00199999,-0.014
-1.8111e+01,-0.00599999,0.00600001
-1.8103e+01,-0.00199999,-0.014
-1.8095e+01,-0.00599999,0.00200001
-1.8088e+01,-0.00199999,-0.014
-1.8080e+01,-0.00199999,0.00600001
-1.8072e+01,-0.00599999,-0.014
-1.8065e+01,-0.00199999,0.00600001
-1.8057e+01,-0.00599999,-0.014
-1.8049e+01,-0.00599999,0.00600001
-1.8041e+01,-0.00599999,-0.014
-1.8034e+01,-0.00199999,0.00600001
-1.8026e+01,-0.00199999,-0.00999999
-1.8018e+01,-0.00199999,0.00600001
-1.8011e+01,-0.00199999,-0.00999999
-1.8003e+01,-0.00199999,0.00600001
-1.7995e+01,-0.00199999,-0.014
-1.7988e+01,-0.00199999,0.00200001
-1.7980e+01,-0.00599999,-0.00999999
-1.7972e+01,-0.00199999,0.00200001
-1.7965e+01,-0.00599999,-0.00999999
-1.7957e+01,-0.00199999,0.00600001
-1.7949e+01,-0.00199999,-0.00999999
-1.7942e+01,-0.00599999,0.00200001
-1.7934e+01,-0.00599999,-0.014
-1.7926e+01,-0.00199999,0.00600001
-1.7919e+01,-0.00199999,-0.00999999
-1.7911e+01,-0.00199999,0.00600001
-1.7903e+01,-0.00599999,-0.00999999
-1.7896e+01,-0.00599999,0.00200001
-1.7888e+01,-0.00599999,-0.00999999
-1.7880e+01,-0.00599999,0.00600001
-1.7873e+01,-0.00199999,-0.014
-1.7865e+01,-0.00199999,0.00600001
-1.7857e+01,-0.00199999,-0.014
-1.7849e+01,-0.00199999,0.00200001
-1.7842e+01,-0.00199999,-0.00999999
-1.7834e+01,-0.00599999,0.00200001
-1.7826e+01,-0.00599999,-0.014
-1.7819e+01,-0.00199999,0.00200001
-1.7811e+01,-0.00599999,-0.014
-1.7803e+01,-0.00599999,0.00600001
-1.7796e+01,-0.00199999,-0.00999999
-1.7788e+01,-0.00199999,0.00200001
-1.7780e+01,-0.00199999,-0.014
-1.7773e+01,-0.00199999,0.00200001
-1.7765e+01,-0.00199999,-0.014
-1.7757e+01,-0.00199999,0.00200001
-1.7750e+01,-0.00599999,-0.014
-1.7742e+01,-0.00599999,0.00200001
-1.7734e+01,-0.00199999,-0.00999999
-1.7727e+01,-0.00599999,0.00200001
-1.7719e+01,-0.00599999,-0.014
-1.7711e+01,-0.00199999,0.00200001
-1.7704e+01,-0.00199999,-0.014
-1.7696e+01,-0.00199999,0.00200001
-1.7688e+01,-0.00199999,-0.014
-1.7680e+01,-0.00199999,0.00200001
-1.7673e+01,-0.00599999,-0.014
-1.7665e+01,-0.00599999,0.00600001
-1.7657e+01,-0.00599999,-0.014
-1.7650e+01,-0.00599999,0.00200001
-1.7642e+01,-0.00199999,-0.00999999
-1.7634e+01,-0.00199999,0.00600001
-1.7627e+01,-0.00199999,-0.014
-1.7619e+01,-0.00599999,0.00600001
-1.7611e+01,-0.00199999,-0.014
-1.7604e+01,-0.00199999,0.00200001
-1.7596e+01,-0.00599999,-0.014
-1.7588e+01,-0.00599999,0.00200001
-1.7581e+01,-0.00199999,-0.014
-1.7573e+01,-0.00199999,0.00200001
-1.7565e+01,-0.00599999,-0.014
-1.7558e+01,-0.00199999,0.00200001
-1.7550e+01,-0.00199999,-0.014
-1.7542e+01,-0.00199999,0.00200001
-1.7535e+01,-0.00199999,-0.014
-1.7527e+01,-0.00199999,0.00200001
-1.7519e+01,-0.00199999,-0.00999999
-1.7512e+01,-0.00199999,0.00200001
-1.7504e+01,-0.00199999,-0.014
-1.7496e+01,-0.00199999,0.00200001
-1.7488e+01,-0.00199999,-0.00999999
-1.7481e+01,-0.00199999,0.00200001
-1.7473e+01,-0.00199999,-0.014
-1.7465e+01,-0.00599999,0.00200001
-1.7458e+01,-0.00599999,-0.00999999
-1.7450e+01,-0.00199999,0.00600001
-1.7442e+01,-0.00599999,-0.014
-1.7435e+01,-0.00199999,0.00600001
-1.7427e+01,-0.00199999,-0.00999999
-1.7419e+01,-0.00199999,0.00600001
-1.7412e+01,-0.00599999,-0.014
-1.7404e+01,-0.00199999,0.00600001
-1.7396e+01,-0.00599999,-0.014
-1.7389e+01,-0.00199999,0.00200001
-1.7381e+01,-0.00599999,-0.00999999
-1.7373e+01,-0.00199999,0.00200001
-1.7366e+01,-0.00599999,-0.014
-1.7358e+01,-0.00199999,0.01
-1.7350e+01,-0.00199999,-0.014
-1.7343e+01,-0.00199999,0.00200001
-1.7335e+01,-0.00199999,-0.014
-1.7327e+01,-0.00199999,0.00600001
-1.7320e+01,-0.00199999,-0.014
-1.7312e+01,-0.00599999,0.00600001
-1.7304e+01,-0.00199999,-0.00999999
-1.7296e+01,-0.00199999,0.00200001
-1.7289e+01,-0.00199999,-0.014
-1.7281e+01,-0.00599999,0.00600001
-1.7273e+01,-0.00599999,-0.00999999
-1.7266e+01,-0.00599999,0.00200001
-1.7258e+01,-0.00199999,-0.014
-1.7250e+01,-0.00199999,0.00200001
-1.7243e+01,-0.00199999,-0.014
-1.7235e+01,-0.00199999,0.00200001
-1.7227e+01,-0.00599999,-0.014
-1.7220e+01,-0.00199999,0.00200001
-1.7212e+01,-0.00599999,-0.014
-1.7204e+01,-0.00199999,0.00200001
-1.7197e+01,-0.00599999,-0.014
-1.7189e+01,-0.00599999,0.00200001
-1.7181e+01,-0.00599999,-0.014
-1.7174e+01,-0.00199999,0.00200001
-1.7166e+01,-0.00599999,-0.014
-1.7158e+01,-0.00199999,0.00600001
-1.7151e+01,-0.00199999,-0.014
-1.7143e+01,-0.00199999,0.00600001
-1.7135e+01,-0.00199999,-0.014
-1.7127e+01,-0.00599999,0.00200001
-1.7120e+01,-0.00599999,-0.014
-1.7112e+01,-0.00199999,0.00200001
-1.7104e+01,-0.00199999,-0.014
-1.7097e+01,-0.00199999,0.00200001
-1.7089e+01,-0.00199999,-0.014
-1.7081e+01,-0.00199999,0.00200001
-1.7074e+01,-0.00199999,-0.014
-1.7066e+01,-0.00199999,0.00200001
-1.7058e+01,-0.00599999,-0.014
-1.7051e+01,-0.00599999,0.00200001
-1.7043e+01,-0.00599999,-0.014
-1.7035e+01,-0.00199999,0.00200001
-1.7028e+01,-0.00199999,-0.014
-1.7020e+01,-0.00199999,0.00200001
-1.7012e+01,-0.00599999,-0.00999999
-1.7005e+01,-0.00599999,0.00200001
-1.6997e+01,-0.00599999,-0.014
-1.6989e+01,-0.00199999,0.00200001
-1.6982e+01,-0.00199999,-0.014
-1.6974e+01,-0.00199999,0.00600001
-1.6966e+01,-0.00599999,-0.014
-1.6959e+01,-0.00599999,0.00200001
-1.6951e+01,-0.00199999,-0.014
-1.6943e+01,-0.00599999,0.00200001
-1.6935e+01,-0.00199999,-0.014
-1.6928e+01,-0.00199999,0.00200001
-1.6920e+01,-0.00599999,-0.014
-1.6912e+01,-0.00599999,0.00200001
-1.6905e+01,-0.00199999,-0.014
-1.6897e+01,-0.00199999,0.00200001
-1.6889e+01,-0.00199999,-0.014
-1.6882e+01,-0.00199999,0.00200001
-1.6874e+01,-0.00599999,-0.014
-1.6866e+01,-0.00199999,0.00200001
-1.6859e+01,-0.00199999,-0.014
-1.6851e+01,-0.00199999,0.00200001
-1.6843e+01,-0.00199999,-0.014
-1.6836e+01,-0.00199999,0.00200001
-1.6828e+01,-0.00199999,-0.014
-1.6820e+01,-0.00199999,0.00200001
-1.6813e+01,-0.00199999,-0.014
-1.6805e+01,-0.00599999,0.00200001
-1.6797e+01,-0.00599999,-0.014
-1.6790e+01,-0.00599999,0.00600001
-1.6782e+01,-0.00199999,-0.014
-1.6774e+01,-0.00199999,0.00600001
-1.6767e+01,-0.00599999,-0.00999999
-1.6759e+01,-0.00599999,0.00200001
-1.6751e+01,-0.00199999,-0.014
-1.6743e+01,-0.00199999,0.00600001
-1.6736e+01,-0.00199999,-0.00999999
-1.6728e+01,-0.00199999,0.00200001
-1.6720e+01,-0.00199999,-0.014
-1.6713e+01,-0.00599999,0.00200001
-1.6705e+01,-0.00599999,-0.014
-1.6697e+01,-0.00599999,0.00200001
-1.6690e+01,-0.00599999,-0.014
-1.6682e+01,-0.00199999,0.00200001
-1.6674e+01,-0.00199999,-0.014
-1.6667e+01,-0.00599999,0.00600001
-1.6659e+01,-0.00199999,-0.00999999
-1.6651e+01,-0.00599999,0.00600001
-1.6644e+01,-0.00199999,-0.014
-1.6636e+01,-0.00199999,0.00600001
-1.6628e+01,-0.00599999,-0.014
-1.6621e+01,-0.00599999,0.00200001
-1.6613e+01,-0.00199999,-0.00999999
-1.6605e+01,-0.00599999,0.00200001
-1.6598e+01,-0.00199999,-0.014
-1.6590e+01,-0.00599999,0.00600001
-1.6582e+01,-0.00599999,-0.014
-1.6575e+01,-0.00599999,0.00200001
-1.6567e+01,-0.00199999,-0.014
-1.6559e+01,-0.00199999,0.00200001
-1.6551e+01,-0.00199999,-0.014
-1.6544e+01,-0.00199999,0.00200001
-1.6536e+01,-0.00599999,-0.014
-1.6528e+01,-0.00599999,0.00200001
-1.6521e+01,-0.00599999,-0.014
-1.6513e+01,-0.00599999,0.00600001
-1.6505e+01,-0.00599999,-0.014
-1.6498e+01,-0.00599999,0.00200001
-1.6490e+01,-0.00599999,-0.014
-1.6482e+01,-0.00199999,0.00600001
-1.6475e+01,-0.00599999,-0.00999999
-1.6467e+01,-0.00599999,0.00200001
-1.6459e+01,-0.00199999,-0.00999999
-1.6452e+01,-0.00199999,0.00200001
-1.6444e+01,-0.00199999,-0.00999999
-1.6436e+01,-0.00199999,0.00200001
-1.6429e+01,-0.00199999,-0.014
-1.6421e+01,-0.00199999,0.00200001
-1.6413e+01,-0.00199999,-0.014
-1.6406e+01,-0.00199999,0.00200001
-1.6398e+01,-0.00199999,-0.014
-1.6390e+01,-0.00599999,0.00600001
-1.6382e+01,-0.00199999,-0.014
-1.6375e+01,-0.00599999,0.00200001
-1.6367e+01,-0.00199999,-0.014
-1.6359e+01,-0.00199999,0.00200001
-1.6352e+01,-0.00599999,-0.014
-1.6344e+01,-0.00199999,0.00600001
-1.6336e+01,-0.00599999,-0.014
-1.6329e+01,-0.00599999,0.00200001
-1.6321e+01,-0.00599999,-0.014
-1.6313e+01,-0.00199999,0.00200001
-1.6306e+01,-0.00199999,-0.014
-1.6298e+01,-0.00199999,0.00200001
-1.6290e+01,-0.00599999,-0.00999999
-1.6283e+01,-0.00199999,0.00200001
-1.6275e+01,-0.00199999,-0.014
-1.6267e+01,-0.00199999,0.00200001
-1.6260e+01,-0.00599999,-0.00999999
-1.6252e+01,-0.00199999,0.00200001
-1.6244e+01,-0.00599999,-0.014
-1.6237e+01,-0.00599999,0.00200001
-1.6229e+01,-0.00599999,-0.014
-1.6221e+01,-0.00199999,0.00200001
-1.6214e+01,-0.00599999,-0.014
-1.6206e+01,-0.00599999,0.00200001
-1.6198e+01,-0.00199999,-0.014
-1.6190e+01,-0.00199999,0.00600001
-1.6183e+01,-0.00599999,-0.014
-1.6175e+01,-0.00599999,0.00200001
-1.6167e+01,-0.00199999,-0.00999999
-1.6160e+01,-0.00599999,0.00200001
-1.6152e+01,-0.00199999,-0.014
-1.6144e+01,-0.00599999,0.00200001
-1.6137e+01,-0.00599999,-0.014
-1.6129e+01,-0.00199999,0.00600001
-1.6121e+01,-0.00199999,-0.014
-1.6114e+01,-0.00599999,0.00200001
-1.6106e+01,-0.00599999,-0.014
-1.6098e+01,-0.00599999,0.00600001
-1.6091e+01,-0.00199999,-0.014
-1.6083e+01,-0.00199999,0.00200001
-1.6075e+01,-0.00599999,-0.014
-1.6068e+01,-0.00599999,0.00200001
-1.6060e+01,-0.00599999,-0.014
-1.6052e+01,-0.00199999,0.00200001
-1.6045e+01,-0.00199999,-0.014
-1.6037e+01,-0.00199999,0.00200001
-1.6029e+01,-0.00199999,-0.014
-1.6022e+01,-0.00199999,0.00600001
-1.6014e+01,-0.00199999,-0.014
-1.6006e+01,-0.00599999,0.00200001
-1.5998e+01,-0.00599999,-0.014
-1.5991e+01,-0.00199999,0.00200001
-1.5983e+01,-0.00599999,-0.014
-1.5975e+01,-0.00599999,0.00200001
-1.5968e+01,-0.00199999,-0.014
-1.5960e+01,-0.00599999,0.00200001
-1.5952e+01,-0.00199999,-0.014
-1.5945e+01,-0.00199999,0.00600001
-1.5937e+01,-0.00199999,-0.014
-1.5929e+01,-0.00599999,0.00200001
-1.5922e+01,-0.00599999,-0.014
-1.5914e+01,-0.00599999,0.00200001
-1.5906e+01,-0.00199999,-0.014
-1.5899e+01,-0.00599999,0.00600001
-1.5891e+01,-0.00599999,-0.014
-1.5883e+01,-0.00199999,0.00200001
-1.5876e+01,-0.00199999,-0.014
-1.5868e+01,-0.00599999,0.00200001
-1.5860e+01,-0.00599999,-0.014
-1.5853e+01,-0.00599999,0.00200001
-1.5845e+01,-0.00599999,-0.014
-1.5837e+01,-0.00599999,0.00200001
-1.5829e+01,-0.00599999,-0.014
-1.5822e+01,-0.00599999,0.00200001
-1.5814e+01,-0.00199999,-0.014
-1.5806e+01,-0.00599999,0.00200001
-1.5799e+01,-0.00599999,-0.014
-1.5791e+01,-0.00199999,0.00200001
-1.5783e+01,-0.00199999,-0.014
-1.5776e+01,-0.00199999,0.00200001
-1.5768e+01,-0.00599999,-0.014
-1.5760e+01,-0.00599999,0.00600001
-1.5753e+01,-0.00599999,-0.014
-1.5745e+01,-0.00599999,0.00600001
-1.5737e+01,-0.00599999,-0.014
-1.5730e+01,-0.00199999,0.00200001
-1.5722e+01,-0.00599999,-0.014
-1.5714e+01,-0.00599999,0.00600001
-1.5707e+01,-0.00199999,-0.014
-1.5699e+01,-0.00599999,0.00200001
-1.5691e+01,-0.00599999,-0.014
-1.5684e+01,-0.00599999,0.00200001
-1.5676e+01,-0.00199999,-0.00999999
-1.5668e+01,-0.00599999,0.00200001
-1.5661e+01,-0.00599999,-0.014
-1.5653e+01,-0.00599999,0.00200001
-1.5645e+01,-0.00599999,-0.014
-1.5637e+01,-0.00199999,0.00600001
-1.5630e+01,-0.00599999,-0.018
-1.5622e+01,-0.00199999,0.00200001
-1.5614e+01,-0.00599999,-0.014
-1.5607e+01,-0.00599999,0.00200001
-1.5599e+01,-0.00199999,-0.00999999
-1.5591e+01,-0.00599999,0.00600001
-1.5584e+01,-0.00599999,-0.014
-1.5576e+01,-0.00599999,0.00600001
-1.5568e+01,-0.00599999,-0.018
-1.5561e+01,-0.00599999,0.00200001
-1.5553e+01,-0.00599999,-0.014
-1.5545e+01,-0.00199999,0.00200001
-1.5538e+01,-0.00199999,-0.014
-1.5530e+01,-0.00199999,0.00200001
-1.5522e+01,-0.00599999,-0.014
-1.5515e+01,-0.00599999,0.00200001
-1.5507e+01,-0.00199999,-0.014
-1.5499e+01,-0.00599999,0.00200001
-1.5492e+01,-0.00599999,-0.014
-1.5484e+01,-0.00599999,0.00200001
-1.5476e+01,-0.00199999,-0.014
-1.5469e+01,-0.00199999,0.00200001
-1.5461e+01,-0.00199999,-0.014
-1.5453e+01,-0.00199999,0.00200001
-1.5445e+01,-0.00599999,-0.014
-1.5438e+01,-0.00199999,0.00200001
-1.5430e+01,-0.00599999,-0.014
-1.5422e+01,-0.00599999,0.00200001
-1.5415e+01,-0.00199999,-0.014
-1.5407e+01,-0.00199999,0.00200001
-1.5399e+01,-0.00599999,-0.014
-1.5392e+01,-0.00199999,0.00200001
-1.5384e+01,-0.00599999,-0.014
-1.5376e+01,-0.00199999,0.00200001
-1.5369e+01,-0.00199999,-0.014
-1.5361e+01,-0.00199999,0.00200001
-1.5353e+01,-0.00599999,-0.014
-1.5346e+01,-0.00599999,0.00200001
-1.5338e+01,-0.00599999,-0.014
-1.5330e+01,-0.00199999,0.00200001
-1.5323e+01,-0.00599999,-0.014
-1.5315e+01,-0.00199999,0.00200001
-1.5307e+01,-0.00199999,-0.014
-1.5300e+01,-0.00199999,0.00200001
-1.5292e+01,-0.00199999,-0.014
-1.5284e+01,-0.00599999,0.00200001
-1.5276e+01,-0.00599999,-0.014
-1.5269e+01,-0.00599999,0.00200001
-1.5261e+01,-0.00199999,-0.014
-1.5253e+01,-0.00199999,0.00200001
-1.5246e+01,-0.00199999,-0.014
-1.5238e+01,-0.00599999,0.00200001
-1.5230e+01,-0.00599999,-0.014
-1.5223e+01,-0.00199999,0.00200001
-1.5215e+01,-0.00599999,-0.014
-1.5207e+01,-0.00599999,0.00200001
-1.5200e+01,-0.00599999,-0.014
-1.5192e+01,-0.00599999,0.00200001
